ID,ROUGE-1,ROUGE-2,ROUGE-L,BLEU,METEOR,BERTScore_P,BERTScore_R,BERTScore_F1,FKGL,DCRS,CLI
67,0.12389380530973453,0.02373887240356083,0.09439528023598821,0.03228252781008997,0.04947117024906176,0.8201375007629395,0.7930723428726196,0.8063778877258301,10.7,9.75,10.91
68,0.08928571428571429,0.02395209580838324,0.06547619047619047,0.00020849122858197493,0.03255208333333333,0.85516756772995,0.7931858897209167,0.8230114579200745,10.9,10.74,15.83
69,0.076,0.02008032128514056,0.060000000000000005,7.056495328555945e-08,0.02337441563960901,0.8647447228431702,0.7841606140136719,0.8224835395812988,16.6,12.46,12.02
70,0.17218543046357618,0.06208425720620842,0.11920529801324503,0.01695859123968794,0.05982754263666228,0.8694839477539062,0.8024861812591553,0.8346427083015442,14.4,8.0,10.86
71,0.046315789473684206,0.012684989429175475,0.046315789473684206,0.0001250821944676103,0.030569536068142753,0.7988927364349365,0.7782394289970398,0.7884308695793152,19.7,9.65,24.02
72,0.10400000000000001,0.024096385542168676,0.09200000000000001,0.00830686081588948,0.04371763454460228,0.8374837040901184,0.7719097137451172,0.8033608198165894,7.7,6.18,8.05
73,0.07843137254901959,0.016901408450704227,0.061624649859943974,0.0002895077670407971,0.03259995404411765,0.8257879018783569,0.7811455726623535,0.8028466105461121,22.9,11.61,18.69
74,0.08360128617363344,0.01941747572815534,0.057877813504823156,2.9101174337252762e-05,0.04896347482724581,0.8838814496994019,0.8010104894638062,0.8404080271720886,11.9,12.06,15.08
75,0.060606060606060594,0.017391304347826087,0.047619047619047616,1.2017500278871628e-05,0.0270906949352179,0.8582348227500916,0.7738862037658691,0.8138809204101562,13.8,10.82,9.23
76,0.1002277904328018,0.02288329519450801,0.08200455580865602,0.003273713128986393,0.03409090909090909,0.8369514346122742,0.7834388613700867,0.8093115091323853,14.0,7.14,12.75
77,0.1806853582554517,0.043887147335423204,0.11214953271028039,0.07558058591353761,0.06472604394869584,0.8775193691253662,0.8076749444007874,0.8411498069763184,14.4,11.08,14.27
78,0.16111111111111112,0.05586592178770949,0.13333333333333333,0.00973817747679735,0.06504106441040908,0.8594446182250977,0.7907195687294006,0.8236510157585144,9.9,7.71,12.23
79,0.15652173913043477,0.017467248908296946,0.10869565217391304,0.0050398327668360375,0.05225180393132621,0.8319723010063171,0.7727423906326294,0.8012643456459045,8.2,6.54,4.47
80,0.06722689075630252,0.016877637130801686,0.05042016806722689,4.39123377017642e-08,0.021669708029197078,0.8491696119308472,0.7598986029624939,0.8020577430725098,9.9,11.64,9.99
81,0.12861736334405144,0.01941747572815534,0.10932475884244373,0.001409960642457671,0.045936533339061704,0.8524129390716553,0.7969752550125122,0.8237624764442444,8.0,10.17,9.56
82,0.11142061281337048,0.028011204481792718,0.08356545961002786,0.003963318879136368,0.046860356138706656,0.8557193279266357,0.8110262155532837,0.8327735662460327,18.8,13.09,16.59
83,0.11764705882352942,0.0379746835443038,0.08823529411764706,0.0011039486934457878,0.04192156103518148,0.8576101064682007,0.7994000315666199,0.8274826407432556,13.3,9.06,13.92
84,0.07676767676767678,0.008113590263691683,0.06060606060606061,0.0010574227292244026,0.03944106378183457,0.8082815408706665,0.7748507857322693,0.7912132143974304,5.9,6.43,6.84
85,0.0979591836734694,0.028688524590163935,0.06530612244897958,0.0011662655133889215,0.04433584440826736,0.8269842863082886,0.7744536399841309,0.7998573780059814,7.8,5.58,9.26
86,0.08620689655172413,0.008658008658008658,0.06896551724137931,0.0004499502013418762,0.030193236714975848,0.8411265015602112,0.7635342478752136,0.8004544377326965,20.9,8.81,20.13
87,0.11671087533156498,0.037333333333333336,0.09018567639257294,0.005699500155563547,0.04922043035567575,0.8484523892402649,0.8056368827819824,0.8264905214309692,28.7,15.15,22.64
88,0.09032258064516129,0.017278617710583154,0.06451612903225808,4.0611918140663576e-05,0.035453445780423705,0.8504852652549744,0.7804951071739197,0.813988447189331,7.2,8.38,8.52
89,0.11258278145695363,0.03333333333333333,0.06622516556291391,5.485291444721415e-05,0.04282019101012026,0.8583840131759644,0.785367488861084,0.8202540278434753,10.3,10.69,10.33
90,0.14795918367346939,0.02564102564102564,0.09183673469387756,0.0010635604984364554,0.05394863693912397,0.8790963888168335,0.7939364314079285,0.8343490958213806,9.3,8.39,10.33
91,0.14092140921409213,0.021798365122615803,0.0975609756097561,0.02982971252926034,0.06207324643078833,0.8354552388191223,0.7916728258132935,0.8129749894142151,9.1,5.57,10.88
92,0.13986013986013987,0.0468384074941452,0.10256410256410257,0.007955240321269822,0.04581527071030424,0.862388551235199,0.7857822179794312,0.8223051428794861,10.0,8.02,11.01
93,0.11576846307385229,0.04008016032064128,0.09181636726546906,0.0020296265883512563,0.03897550111358575,0.8235609531402588,0.7681410312652588,0.7948862314224243,7.8,6.27,6.77
94,0.14432989690721648,0.04663212435233161,0.10309278350515463,0.05514390698239128,0.0812295480787955,0.8389294743537903,0.7892284393310547,0.8133203983306885,12.3,6.84,7.96
95,0.07638888888888888,0.013986013986013988,0.0625,0.0043748626292561925,0.03901677721420212,0.797990620136261,0.79344242811203,0.795710027217865,14.5,10.15,20.99
96,0.11973392461197338,0.017817371937639197,0.09312638580931264,0.0019362818231342465,0.043338286280336806,0.8083275556564331,0.7662259936332703,0.7867138981819153,6.8,5.22,6.95
97,0.1511111111111111,0.049107142857142856,0.12000000000000001,0.006744505851840144,0.05874558563428779,0.8768413066864014,0.8005205392837524,0.836944580078125,14.2,11.19,13.17
98,0.14728682170542637,0.015625,0.08527131782945736,0.04023125762426566,0.06704858822566481,0.8663889765739441,0.7886958122253418,0.8257188200950623,10.3,8.92,10.96
99,0.1767676767676768,0.06598984771573604,0.1111111111111111,0.018072942658992,0.07146967386799315,0.8856898546218872,0.8021358847618103,0.8418447971343994,8.1,9.48,6.21
100,0.08717948717948719,0.015463917525773195,0.06666666666666667,0.00019967676361989204,0.03890668226854532,0.8412047624588013,0.7864388227462769,0.8129004240036011,7.0,7.97,8.23
101,0.1292134831460674,0.03954802259887006,0.08988764044943821,0.001474993244617221,0.045654911838790925,0.8688419461250305,0.7985496520996094,0.8322141766548157,7.0,7.97,6.55
102,0.10526315789473684,0.03382663847780127,0.08842105263157896,0.0013667069045566929,0.04344387605922468,0.8210631608963013,0.777915358543396,0.7989071011543274,12.2,8.94,12.98
103,0.09600000000000002,0.010723860589812333,0.06933333333333334,0.008330480745948842,0.04303947758978925,0.843437671661377,0.783755362033844,0.8125019669532776,15.4,7.93,19.88
104,0.1258741258741259,0.035211267605633804,0.09090909090909091,0.01169344063699565,0.058097535548182234,0.8769506812095642,0.8104098439216614,0.8423682451248169,9.7,10.68,10.55
105,0.058426966292134834,0.0,0.04943820224719101,1.3029846066525449e-08,0.02042287361845267,0.8465726375579834,0.7783358097076416,0.8110214471817017,11.1,9.37,11.72
106,0.07751937984496124,0.025974025974025972,0.06718346253229975,0.00605975772100787,0.038079818802934415,0.8562256097793579,0.7808557152748108,0.8168056011199951,18.6,13.74,18.21
107,0.14545454545454545,0.024390243902439025,0.09090909090909093,0.048095301592212224,0.08145579912286921,0.8731825947761536,0.8146729469299316,0.8429136872291565,11.6,10.57,13.27
108,0.152317880794702,0.05333333333333334,0.11258278145695363,0.030479671226311705,0.05504210113291961,0.8445730209350586,0.807453453540802,0.825596272945404,16.6,11.23,18.91
109,0.09146341463414634,0.030674846625766874,0.06707317073170732,0.00873446983936058,0.055411746831669245,0.849570631980896,0.8092052936553955,0.8288968205451965,15.4,13.31,22.5
110,0.1901840490797546,0.024691358024691357,0.1165644171779141,0.05129441755934944,0.08029978586723768,0.846764862537384,0.7916991710662842,0.8183067440986633,8.9,7.53,6.09
111,0.15637860082304528,0.04132231404958678,0.10699588477366255,0.002857295548659486,0.05493218789880109,0.8596552014350891,0.7884571552276611,0.8225183486938477,11.7,8.72,9.52
112,0.07462686567164178,0.014981273408239702,0.05970149253731344,0.0009458913432720327,0.038117131100563265,0.8133589625358582,0.7724291086196899,0.7923659086227417,9.6,6.06,10.03
113,0.13302752293577982,0.05069124423963134,0.09174311926605504,0.005512450285220395,0.04833263570740803,0.8598676919937134,0.800692081451416,0.829225480556488,13.7,11.18,14.43
114,0.13574660633484162,0.02727272727272727,0.09049773755656108,0.0007219268235740903,0.04422542330048016,0.8547686338424683,0.7861207723617554,0.8190087080001831,3.5,7.85,3.39
115,0.17222222222222222,0.01675977653631285,0.1222222222222222,0.024040908248400626,0.0573394495412844,0.8253365159034729,0.7935535907745361,0.8091331124305725,12.3,7.36,9.58
116,0.07537688442211055,0.00505050505050505,0.06030150753768843,0.0026494711127502536,0.027739251040221912,0.8094012141227722,0.7653898000717163,0.7867805361747742,16.1,7.6,19.02
117,0.1155778894472362,0.010101010101010102,0.05527638190954774,0.0008249468521066552,0.0424136911766354,0.8591870069503784,0.8037337064743042,0.8305357098579407,18.4,12.63,21.23
118,0.10918114143920596,0.029925187032418952,0.07444168734491315,0.0030754179023948533,0.043405208625035004,0.840874969959259,0.7810355424880981,0.809851348400116,8.1,7.54,6.21
119,0.1592356687898089,0.0,0.09554140127388534,0.028828379641782906,0.06831610044313145,0.8373046517372131,0.805889368057251,0.821296751499176,8.5,7.91,8.01
120,0.1476923076923077,0.030959752321981428,0.09846153846153845,0.0021400852980105437,0.056030502573418114,0.8359875679016113,0.7907893657684326,0.812760591506958,7.6,8.66,6.15
